mysql> select distinct
    ->     word_num as w,
    ->     (select count(*) from
    ->             annot
    ->         inner join
    ->             annot_target
    ->         on
    ->             annot.id = annot_target.annot_id
    ->     where
    ->         target.id = annot_target.target_id) as nn
    -> from
    ->     target
    -> order by
    ->     word_num
    -> ;
+--------+------+
| w      | nn   |
|  36951 |    1 |
|  36952 |    1 |
|  36953 |    1 |
|  37136 |    1 |
|  37138 |    1 |
|  37139 |    1 |
|  37525 |    1 |
|  37526 |    1 |
|  37527 |    1 |
|  37582 |    1 |
|  37583 |    1 |
|  37585 |    1 |
|  38249 |    1 |
|  38250 |    1 |
|  38583 |    1 |
|  38584 |    1 |
|  38586 |    1 |
|  38587 |    1 |
|  38589 |    1 |
|  38738 |    1 |
|  38739 |    1 |
|  38740 |    1 |
|  39157 |    1 |
|  39158 |    1 |
|  39587 |    1 |
|  39588 |    1 |
|  39590 |    1 |
|  39602 |    1 |
|  39603 |    1 |
|  39604 |    1 |
|  39769 |    1 |
|  39772 |    1 |
|  39773 |    1 |
|  39775 |    1 |
|  39778 |    1 |
|  39780 |    1 |
|  39782 |    1 |
|  41500 |    1 |
|  41502 |    1 |
|  41641 |    1 |
|  41644 |    1 |
|  41645 |    1 |
|  41646 |    1 |
|  41647 |    1 |
|  41648 |    1 |
|  41649 |    1 |
|  41650 |    1 |
|  41819 |    1 |
|  41820 |    1 |
|  41821 |    1 |
|  41822 |    1 |
|  41823 |    1 |
|  41824 |    1 |
|  41825 |    1 |
|  41826 |    1 |
|  41898 |    1 |
|  41899 |    1 |
|  41900 |    1 |
|  43736 |    1 |
|  43738 |    1 |
|  43739 |    1 |
|  43968 |    1 |
|  43969 |    1 |
|  43970 |    1 |
|  43971 |    1 |
|  43972 |    1 |
|  43977 |    1 |
|  43978 |    1 |
|  43979 |    1 |
|  43980 |    1 |
|  43981 |    1 |
|  44759 |    1 |
|  44760 |    1 |
|  44761 |    1 |
|  44937 |    1 |
|  44938 |    1 |
|  44939 |    1 |
|  45020 |    1 |
|  45021 |    1 |
|  45022 |    1 |
|  45024 |    1 |
|  45026 |    1 |
|  45232 |    1 |
|  45233 |    1 |
|  45235 |    1 |
|  45269 |    1 |
|  45270 |    1 |
|  45271 |    1 |
|  45677 |    1 |
|  45678 |    1 |
|  45680 |    1 |
|  45768 |    1 |
|  45769 |    1 |
|  45949 |    1 |
|  45950 |    1 |
|  45951 |    1 |
|  45952 |    1 |
|  46227 |    1 |
|  46232 |    1 |
|  46233 |    1 |
|  46392 |    1 |
|  46393 |    1 |
|  46394 |    1 |
|  46395 |    1 |
|  46400 |    1 |
|  46401 |    1 |
|  46403 |    1 |
|  46522 |    1 |
|  46523 |    1 |
|  46526 |    1 |
|  47310 |    1 |
|  47313 |    1 |
|  47314 |    1 |
|  47665 |    1 |
|  47669 |    1 |
|  47670 |    1 |
|  48291 |    1 |
|  48292 |    1 |
|  48295 |    1 |
|  48420 |    1 |
|  48421 |    1 |
|  48422 |    1 |
|  49198 |    1 |
|  49199 |    1 |
|  49200 |    1 |
|  49201 |    1 |
|  49202 |    1 |
|  49215 |    1 |
|  49216 |    1 |
|  49217 |    1 |
|  49218 |    1 |
|  49219 |    1 |
|  56389 |    1 |
|  56390 |    1 |
|  56391 |    1 |
|  56951 |    1 |
|  56952 |    1 |
|  56953 |    1 |
|  57420 |    1 |
